movieId,title,genres,director,casts
53,Lamerica (1994),Adventure|Drama,Gianni Amelio,Enrico Lo Verso| Michele Placido| Piro Milkani| Carmelo Di Mazzarelli
54,Big Green, The (1995),Holly Goldberg Sloan,Steve Guttenberg| Olivia d'Abo| Jay O
55,Georgia (1995),Drama,Ulu Grosbard,Jennifer Jason Leigh| Mare Winningham| Ted Levine| Max Perlich
57,Home for the Holidays (1995),Drama,Jodie Foster,Holly Hunter| Robert Downey Jr
58,Postman, The (Postino,Michael Radford| Massimo Troisi,Philippe Noiret| Massimo Troisi| Maria Grazia Cucinotta| Renato Scarpa
60,Indian in the Cupboard, The (1995),Frank Oz,Hal Scardino| Litefoot| Lindsay Crouse| Richard Jenkins
61,Eye for an Eye (1996),Drama|Thriller,John Schlesinger,Sally Field| Ed Harris| Olivia Burnette| Alexandra Kyle
62,Mr. Holland's Opus (1995),Drama,Stephen Herek,Richard Dreyfuss| Glenne Headly| Jay Thomas| Olympia Dukakis
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Paris Barclay,Shawn Wayans| Marlon Wayans| Tracey Cherelle Jones| Chris Spencer
64,Two if by Sea (1996),Comedy|Romance,Bill Bennett,Denis Leary| Sandra Bullock| Stephen Dillane| Yaphet Kotto
65,Bio-Dome (1996),Comedy,Jason Bloom,William Atherton| Denise Dowse| Dara Tomanovich| Kevin West
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Farhad Mann,Patrick Bergin| Matt Frewer| Austin O'Brien| Ely Pouget
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Josiane Balasko,Victoria Abril| Josiane Balasko| Alain Chabat| Ticky Holgado
69,Friday (1995),Comedy,F. Gary Gray,Ice Cube| Chris Tucker| Nia Long| Tom Lister Jr
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Robert Rodriguez,George Clooney| Quentin Tarantino| Harvey Keitel| Juliette Lewis
71,Fair Game (1995),Action,Andrew Sipes,William Baldwin| Cindy Crawford| Steven Berkoff| Christopher McDonald
72,Kicking and Screaming (1995),Comedy|Drama,Noah Baumbach,Josh Hamilton| Samuel Gould| Catherine Kellner| Jonathan Baumbach
73,Misérables, Les (1995),Claude Lelouch,Jean-Paul Belmondo| Michel Boujenah| Alessandra Martines| Salomé Lelouch
74,Bed of Roses (1996),Drama|Romance,Michael Goldenberg,Christian Slater| Mary Stuart Masterson| Pamela Adlon| Josh Brolin
75,Big Bully (1996),Comedy|Drama,Steve Miner,Rick Moranis| Tom Arnold| Julianne Phillips| Carol Kane
76,Screamers (1995),Action|Sci-Fi|Thriller,Christian Duguay,Peter Weller| Roy Dupuis| Jennifer Rubin| Andy Lauer
77,Nico Icon (1995),Documentary,Susanne Ofteringer,Nico| Tina Aumont| Christian Päffgen| Edith Boulogne
78,Crossing Guard, The (1995),Sean Penn,Jack Nicholson| David Morse| Anjelica Huston| Robin Wright
79,Juror, The (1996),Brian Gibson,Demi Moore| Alec Baldwin| Joseph Gordon-Levitt| James Gandolfini
80,White Balloon, The (Badkonake sefid) (1995),Jafar Panahi,Aida Mohammadkhani| Mohsen Kafili| Fereshteh Sadre Orafaiy| Anna Borkowska
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Gary Fleder,Andy Garcia| Christopher Lloyd| William Forsythe| Bill Nunn
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Marleen Gorris,Willeke van Ammelrooy| Els Dottermans| Dora van der Groen| Veerle van Overloop
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Tim Reid,Al Freeman Jr
85,Angels and Insects (1995),Drama|Romance,Philip Haas,Mark Rylance| Kristin Scott Thomas| Patsy Kensit| Jeremy Kemp
86,White Squall (1996),Action|Adventure|Drama,Ridley Scott,Jeff Bridges| Caroline Goodall| John Savage| Scott Wolf
87,Dunston Checks In (1996),Children|Comedy,Ken Kwapis,Jason Alexander| Faye Dunaway| Eric Lloyd| Rupert Everett
88,Black Sheep (1996),Comedy,Penelope Spheeris,Chris Farley| David Spade| Tim Matheson| Christine Ebersole
89,Nick of Time (1995),Action|Thriller,John Badham,Johnny Depp| Courtney Chase| Charles S
92,Mary Reilly (1996),Drama|Horror|Thriller,Stephen Frears,Julia Roberts| John Malkovich| George Cole| Michael Gambon
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Wes Craven,Eddie Murphy| Angela Bassett| Allen Payne| Kadeem Hardison
94,Beautiful Girls (1996),Comedy|Drama|Romance,Ted Demme,Matt Dillon| Noah Emmerich| Annabeth Gish| Lauren Holly
95,Broken Arrow (1996),Action|Adventure|Thriller,John Woo,John Travolta| Christian Slater| Samantha Mathis| Delroy Lindo
96,In the Bleak Midwinter (1995),Comedy|Drama,Kenneth Branagh,Richard Briers| Hetta Charnley| Joan Collins| Nicholas Farrell
97,Hate (Haine, La) (1995),Mathieu Kassovitz,Vincent Cassel| Hubert Koundé| Saïd Taghmaoui| Abdel Ahmed Ghili
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Nick Broomfield,Nick Broomfield| Nina Xining Zuo| Madam Alex| Corinne Bohrer
100,City Hall (1996),Drama|Thriller,Harold Becker,Al Pacino| John Cusack| Bridget Fonda| Danny Aiello
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Wes Anderson,Luke Wilson| Owen Wilson| Ned Dowd| Shea Fowler
102,Mr. Wrong (1996),Comedy,Nick Castle,Ellen DeGeneres| Bill Pullman| Joan Cusack| Dean Stockwell
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,John Dahl,Ray Liotta| Linda Fiorentino| Peter Coyote| Christopher McDonald
104,Happy Gilmore (1996),Comedy,Dennis Dugan,Adam Sandler| Christopher McDonald| Julie Bowen| Frances Bay
105,Bridges of Madison County, The (1995),Clint Eastwood,Clint Eastwood| Meryl Streep| Annie Corley| Victor Slezak
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Doris Dörrie,Maria Schrader| Pierre Sanoussi-Bliss| Michael von Au| Elisabeth Trissenaar
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Brian Henson| David Lane,Tim Curry| Billy Connolly| Jennifer Saunders| Kevin Bishop
108,Catwalk (1996),Documentary,Robert Leacock,Christy Turlington| Azzedine Alaïa| Giorgio Armani| Nadja Auermann
110,Braveheart (1995),Action|Drama|War,Mel Gibson,James Robinson| Sean Lawlor| Sandy Nelson| James Cosmo
111,Taxi Driver (1976),Crime|Drama|Thriller,Martin Scorsese,Diahnne Abbott| Frank Adu| Victor Argo| Gino Ardito
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Stanley Tong,Jackie Chan| Anita Mui| Françoise Yip| Bill Tung
113,Before and After (1996),Drama|Mystery,Barbet Schroeder,Meryl Streep| Liam Neeson| Edward Furlong| Julia Weldon
116,Anne Frank Remembered (1995),Documentary,Jon Blair,Isa Baschwitz| Mary Bos| Kenneth Branagh| Janny Brandes-Brilslijper
117,Young Poisoner's Handbook, The (1995),Benjamin Ross,Tobias Arnold| Ruth Sheen| Roger Lloyd Pack| Hugh O'Conor
118,If Lucy Fell (1996),Comedy|Romance,Eric Schaeffer,Sarah Jessica Parker| Eric Schaeffer| Ben Stiller| Elle Macpherson
119,Steal Big, Steal Little (1995),Andrew Davis,Andy Garcia| Alan Arkin| Rachel Ticotin| Joe Pantoliano
121,Boys of St. Vincent, The (1992),John N. Smith,Henry Czerny| Johnny Morina| Brian Dooley| Philip Dinn
122,Boomerang (1992),Comedy|Romance,Reginald Hudlin,Eddie Murphy| Robin Givens| Halle Berry| David Alan Grier
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Kar-Wai Wong,Brigitte Lin| Tony Chiu-Wai Leung| Faye Wong| Takeshi Kaneshiro
125,Flirting With Disaster (1996),Comedy,David O. Russell,Ben Stiller| Patricia Arquette| Téa Leoni| Mary Tyler Moore
126,NeverEnding Story III, The (1994),Peter MacDonald,Jason James Richter| Melody Kay| Jack Black| Carole Finn
128,Jupiter's Wife (1994),Documentary,Michel Negroponte,Maggie Cogan| Katina Pendleton
129,Pie in the Sky (1996),Comedy|Romance,Bryan Gordon,Josh Charles| Anne Heche| John Goodman| Christine Lahti
132,Jade (1995),Thriller,William Friedkin,David Caruso| Linda Fiorentino| Chazz Palminteri| Richard Crenna
135,Down Periscope (1996),Comedy,David S. Ward,Kelsey Grammer| Lauren Holly| Rob Schneider| Harry Dean Stanton
137,Man of the Year (1995),Documentary,Dirk Shafer,Vivian Paxton| Claudette Sutherland| Michael Ornstein| Cal Bartlett
140,Up Close and Personal (1996),Drama|Romance,Jon Avnet,Robert Redford| Michelle Pfeiffer| Stockard Channing| Joe Mantegna
141,Birdcage, The (1996),Mike Nichols,Robin Williams| Gene Hackman| Nathan Lane| Dianne Wiest
144,Brothers McMullen, The (1995),Edward Burns,Shari Albert| Maxine Bahns| Catharine Bolz| Connie Britton
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Michael Bay,Lisa Boyle| Michael Taliferro| Emmanuel Xuereb| Tchéky Karyo
146,Amazing Panda Adventure, The (1995),Christopher Cain,Stephen Lang| Ryan Slater| Yi Ding| Wang Fei
147,Basketball Diaries, The (1995),Scott Kalvert,Leonardo DiCaprio| Lorraine Bracco| Marilyn Sokol| James Madio
148,Awfully Big Adventure, An (1995),Mike Newell,Alan Rickman| Hugh Grant| Georgina Cates| Alun Armstrong
149,Amateur (1994),Crime|Drama|Thriller,Hal Hartley,Isabelle Huppert| Martin Donovan| Elina Löwensohn| Damian Young
150,Apollo 13 (1995),Adventure|Drama|IMAX,Ron Howard,Tom Hanks| Bill Paxton| Kevin Bacon| Gary Sinise
151,Rob Roy (1995),Action|Drama|Romance|War,Michael Caton-Jones,Liam Neeson| Jessica Lange| John Hurt| Tim Roth
152,Addiction, The (1995),Abel Ferrara,Lili Taylor| Christopher Walken| Annabella Sciorra| Edie Falco
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Joel Schumacher,Val Kilmer| Tommy Lee Jones| Jim Carrey| Nicole Kidman
154,Beauty of the Day (Belle de jour) (1967),Drama,Luis Buñuel,Catherine Deneuve| Jean Sorel| Michel Piccoli| Geneviève Page
155,Beyond Rangoon (1995),Adventure|Drama|War,John Boorman,Patricia Arquette| U Aung Ko| Frances McDormand| Spalding Gray
156,Blue in the Face (1995),Comedy|Drama,Paul Auster| Wayne Wang| Harvey Wang,Lou Reed| Michael J
157,Canadian Bacon (1995),Comedy|War,Michael Moore,John Candy| Alan Alda| Rhea Perlman| Kevin Pollak
158,Casper (1995),Adventure|Children,Brad Silberling,Chauncey Leopardi| Spencer Vrooman| Malachi Pearson| Cathy Moriarty
159,Clockers (1995),Crime|Drama|Mystery,Spike Lee,Harvey Keitel| John Turturro| Delroy Lindo| Mekhi Phifer
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Frank Marshall,Laura Linney| Dylan Walsh| Ernie Hudson| Tim Curry
161,Crimson Tide (1995),Drama|Thriller|War,Tony Scott,Denzel Washington| Gene Hackman| Matt Craven| George Dzundza
162,Crumb (1994),Documentary,Terry Zwigoff,Robert Crumb| Aline Kominsky-Crumb| Charles Crumb| Maxon Crumb
163,Desperado (1995),Action|Romance|Western,Robert Rodriguez,Antonio Banderas| Salma Hayek| Joaquim de Almeida| Cheech Marin
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Carl Franklin,Denzel Washington| Tom Sizemore| Jennifer Beals| Don Cheadle
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,John McTiernan,Bruce Willis| Jeremy Irons| Samuel L
166,Doom Generation, The (1995),Gregg Araki,James Duval| Rose McGowan| Johnathon Schaech| Cress Williams
168,First Knight (1995),Action|Drama|Romance,Jerry Zucker,Sean Connery| Richard Gere| Julia Ormond| Ben Cross
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Dwight H. Little,Jason James Richter| Francis Capra| Mary Kate Schellhardt| August Schellenberg
170,Hackers (1995),Action|Adventure|Crime|Thriller,Iain Softley,Jonny Lee Miller| Angelina Jolie| Jesse Bradford| Matthew Lillard
171,Jeffrey (1995),Comedy|Drama,Christopher Ashley,Steven Weber| Peter Jacobson| Tom Cayler| David Thornton
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Robert Longo,Keanu Reeves| Dina Meyer| Ice-T| Takeshi Kitano
173,Judge Dredd (1995),Action|Crime|Sci-Fi,Danny Cannon,Sylvester Stallone| Armand Assante| Rob Schneider| Jürgen Prochnow
174,Jury Duty (1995),Comedy,John Fortenberry,Pauly Shore| Tia Carrere| Stanley Tucci| Brian Doyle-Murray
175,Kids (1995),Drama,Larry Clark,Leo Fitzpatrick| Sarah Henderson| Justin Pierce| Joseph Chan
176,Living in Oblivion (1995),Comedy,Tom DiCillo,Steve Buscemi| Catherine Keener| Dermot Mulroney| Danielle von Zerneck
177,Lord of Illusions (1995),Horror,Clive Barker,J
178,Love & Human Remains (1993),Comedy|Drama,Denys Arcand,Thomas Gibson| Ruth Marshall| Cameron Bancroft| Mia Kirshner
179,Mad Love (1995),Drama|Romance,Antonia Bird,Chris O'Donnell| Drew Barrymore| Matthew Lillard| Richard Chaim
180,Mallrats (1995),Comedy|Romance,Kevin Smith,Shannen Doherty| Jeremy London| Jason Lee| Claire Forlani
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Bryan Spicer,Karan Ashley| Johnny Yong Bosch| Steve Cardenas| Jason David Frank
183,Mute Witness (1994),Comedy|Horror|Thriller,Anthony Waller,Marina Zudina| Fay Ripley| Evan Richards| Oleg Yankovskiy
184,Nadja (1994),Drama,Michael Almereyda,Elina Löwensohn| Nic Ratner| Karl Geary| Peter Fonda
185,Net, The (1995),Irwin Winkler,Sandra Bullock| Jeremy Northam| Dennis Miller| Diane Baker
186,Nine Months (1995),Comedy|Romance,Chris Columbus,Hugh Grant| Julianne Moore| Tom Arnold| Joan Cusack
187,Party Girl (1995),Comedy,Daisy von Scherler Mayer,The Lady Bunny| Lum Chang Pang| Parker Posey| Anthony DeSando
188,Prophecy, The (1995),Gregory Widen,Christopher Walken| Elias Koteas| Virginia Madsen| Eric Stoltz
189,Reckless (1995),Comedy|Fantasy,Norman René,Mia Farrow| Tony Goldwyn| Juana Barrios| Mike Heibeck
190,Safe (1995),Thriller,Todd Haynes,Julianne Moore| Xander Berkeley| Dean Norris| Julie Burgess
191,Scarlet Letter, The (1995),Roland Joffé,Demi Moore| Gary Oldman| Robert Duvall| Lisa Andoh
193,Showgirls (1995),Drama,Paul Verhoeven,Elizabeth Berkley| Kyle MacLachlan| Gina Gershon| Glenn Plummer
194,Smoke (1995),Comedy|Drama,Wayne Wang,Giancarlo Esposito| José Zúñiga| Stephen Gevedon| Harvey Keitel
195,Something to Talk About (1995),Comedy|Drama|Romance,Lasse Hallström,Julia Roberts| Dennis Quaid| Robert Duvall| Gena Rowlands
196,Species (1995),Horror|Sci-Fi,Roger Donaldson,Ben Kingsley| Michael Madsen| Alfred Molina| Forest Whitaker
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Kathryn Bigelow,Ralph Fiennes| Angela Bassett| Juliette Lewis| Tom Sizemore
199,Umbrellas of Cherbourg, The (Parapluies de Cherbourg,Jacques Demy,Catherine Deneuve| Nino Castelnuovo| Anne Vernon| Marc Michel
201,Three Wishes (1995),Drama|Fantasy,Martha Coolidge,Patrick Swayze| Mary Elizabeth Mastrantonio| Joseph Mazzello| Seth Mumy
202,Total Eclipse (1995),Drama|Romance,Agnieszka Holland,Leonardo DiCaprio| David Thewlis| Romane Bohringer| Dominique Blanc
203,To Wong Foo, Thanks for Everything! Julie Newmar (1995),Beeban Kidron,Wesley Snipes| Patrick Swayze| John Leguizamo| Stockard Channing
204,Under Siege 2: Dark Territory (1995),Action,Geoff Murphy,Steven Seagal| Eric Bogosian| Everett McGill| Katherine Heigl
205,Unstrung Heroes (1995),Comedy|Drama,Diane Keaton,Andie MacDowell| John Turturro| Michael Richards| Maury Chaykin
206,Unzipped (1995),Documentary,Douglas Keeve,Roseanne Barr| Sandra Bernhard| Robert Best| Natane Boudreau
207,Walk in the Clouds, A (1995),Alfonso Arau,Keanu Reeves| Aitana Sánchez-Gijón| Anthony Quinn| Giancarlo Giannini
208,Waterworld (1995),Action|Adventure|Sci-Fi,Kevin Reynolds,Kevin Costner| Chaim Jeraffi| Rick Aviles| R
209,White Man's Burden (1995),Drama,Desmond Nakano,John Travolta| Harry Belafonte| Kelly Lynch| Margaret Avery
210,Wild Bill (1995),Western,Walter Hill,Jeff Bridges| Ellen Barkin| John Hurt| Diane Lane
211,Browning Version, The (1994),Mike Figgis,Albert Finney| Greta Scacchi| Matthew Modine| Julian Sands
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Greg Beeman,Daniel Stern| Jon Polito| Brad Sullivan| Ann Dowd
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Nikita Mikhalkov,Oleg Menshikov| Nikita Mikhalkov| Ingeborga Dapkunaite| Nadezhda Mikhalkova
214,Before the Rain (Pred dozhdot) (1994),Drama|War,Milcho Manchevski,Grégoire Colin| Josif Josifovski| Boris Delcevski| Dejan Velkov
215,Before Sunrise (1995),Drama|Romance,Richard Linklater,Ethan Hawke| Julie Delpy| Andrea Eckert| Hanno Pöschl
216,Billy Madison (1995),Comedy,Tamra Davis,Adam Sandler| Darren McGavin| Bridgette Wilson-Sampras| Bradley Whitford
217,Babysitter, The (1995),Guy Ferland,Alicia Silverstone| Jeremy London| J
218,Boys on the Side (1995),Comedy|Drama,Herbert Ross,Whoopi Goldberg| Mary-Louise Parker| Drew Barrymore| Matthew McConaughey
219,Cure, The (1995),Peter Horton,Brad Renfro| Aeryk Egan| Delphine French| Mona Powell
220,Castle Freak (1995),Horror,Stuart Gordon,Jeffrey Combs| Barbara Crampton| Jonathan Fuller| Jessica Dollarhide
222,Circle of Friends (1995),Drama|Romance,Pat O'Connor,Chris O'Donnell| Minnie Driver| Geraldine O'Rawe| Saffron Burrows
223,Clerks (1994),Comedy,Kevin Smith,Brian O'Halloran| Jeff Anderson| Marilyn Ghigliotti| Lisa Spoonauer
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Jeremy Leven,Marlon Brando| Johnny Depp| Faye Dunaway| Géraldine Pailhas
225,Disclosure (1994),Drama|Thriller,Barry Levinson,Michael Douglas| Demi Moore| Donald Sutherland| Caroline Goodall
227,Drop Zone (1994),Action|Thriller,John Badham,Wesley Snipes| Gary Busey| Yancy Butler| Michael Jeter
228,Destiny Turns on the Radio (1995),Comedy,Jack Baran,Dylan McDermott| Nancy Travis| James Le Gros| Quentin Tarantino
229,Death and the Maiden (1994),Drama|Thriller,Roman Polanski,Sigourney Weaver| Ben Kingsley| Stuart Wilson| Krystia Mova
230,Dolores Claiborne (1995),Drama|Thriller,Taylor Hackford,Kathy Bates| Jennifer Jason Leigh| Judy Parfitt| Christopher Plummer
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,Peter Farrelly| Bobby Farrelly,Jim Carrey| Jeff Daniels| Lauren Holly| Mike Starr
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,Ang Lee,Sihung Lung| Yu-Wen Wang| Chien-Lien Wu| Kuei-Mei Yang
233,Exotica (1994),Drama,Atom Egoyan,Bruce Greenwood| Mia Kirshner| Don McKellar| Elias Koteas
234,Exit to Eden (1994),Comedy,Garry Marshall,Dana Delany| Paul Mercurio| Rosie O'Donnell| Dan Aykroyd
235,Ed Wood (1994),Comedy|Drama,Tim Burton,Johnny Depp| Martin Landau| Sarah Jessica Parker| Patricia Arquette
236,French Kiss (1995),Action|Comedy|Romance,Lawrence Kasdan,Meg Ryan| Kevin Kline| Timothy Hutton| Jean Reno
237,Forget Paris (1995),Comedy|Romance,Billy Crystal,Billy Crystal| Debra Winger| Joe Mantegna| Cynthia Stevenson
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,Phillip Borsos,Mimi Rogers| Bruce Davison| Jesse Bradford| Tom Bower
239,Goofy Movie, A (1995),Kevin Lima,Bill Farmer| Jason Marsden| Jim Cummings| Kellie Martin
240,Hideaway (1995),Thriller,Brett Leonard,Jeff Goldblum| Christine Lahti| Alicia Silverstone| Jeremy Sisto
241,Fluke (1995),Children|Drama,Carlo Carlei,Samuel L
242,Farinelli: il castrato (1994),Drama|Musical,Gérard Corbiau,Stefano Dionisi| Enrico Lo Verso| Elsa Zylberstein| Caroline Cellier
243,Gordy (1995),Children|Comedy|Fantasy,Mark Lewis,Doug Stone| Kristy Young| James Donadio| Deborah Hobart
246,Hoop Dreams (1994),Documentary,Steve James,William Gates| Arthur Agee| Emma Gates| Curtis Gates
247,Heavenly Creatures (1994),Crime|Drama,Peter Jackson,Melanie Lynskey| Kate Winslet| Sarah Peirse| Diana Kent
248,Houseguest (1994),Comedy,Randall Miller,Sinbad| Phil Hartman| Kim Greist| Kim Murphy
249,Immortal Beloved (1994),Drama|Romance,Bernard Rose,Gary Oldman| Jeroen Krabbé| Isabella Rossellini| Johanna ter Steege
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,Steven Brill,David Goldman| Joseph Wayne Miller| Cody Burger| Allen Covert
